N,a [mm],d [mm],my_theta [deg],p [mm],Rdc[¦¸],Ldc[uH],¦Ä/h,L [uH],R [¦¸],Q
2,30,0.4,9.9,0.2,0.1411,0.3277,0.3578,0.2725,0.221,52.5259
2,30,0.4,9.9,0.4,0.1402,0.3196,0.3578,0.2653,0.2047,55.1935
2,30,0.8,9.9,0.4,0.0691,0.3042,0.3578,0.2244,0.1321,72.3452
2,30,0.8,9.9,0.6,0.0686,0.2968,0.3578,0.2213,0.1264,74.5607
2,30,0.8,9.9,0.8,0.0682,0.2896,0.3578,0.2146,0.1238,73.8052
2,30,0.8,9.9,1,0.0677,0.2826,0.3578,0.2072,0.1227,71.9198
2,30,0.8,9.9,1.2,0.0672,0.2757,0.3578,0.2036,0.1256,69.0442
2,30,1,9.9,0.4,0.0549,0.2968,0.3578,0.2152,0.1128,81.2228
2,30,1,9.9,0.6,0.0545,0.2896,0.3578,0.2081,0.1095,80.9389
2,30,1,9.9,0.8,0.0541,0.2826,0.3578,0.197,0.1149,73.0104
2,30,1,9.9,1,0.0538,0.2757,0.3578,0.1844,0.1098,71.5031
2,30,1,9.9,1.2,0.0534,0.269,0.3578,0.1893,0.1114,72.4021
2,30,1.2,9.9,0.4,0.0454,0.2896,0.3578,0.1988,0.1056,80.2084
2,30,1.2,9.9,0.6,0.0451,0.2826,0.3578,0.1943,0.0976,84.816
2,30,1.2,9.9,0.8,0.0448,0.2757,0.3578,0.1897,0.0955,84.5706
2,30,1.2,9.9,1,0.0445,0.269,0.3578,0.1835,0.0959,81.534
2,30,1.2,9.9,1.2,0.0442,0.2624,0.3578,0.1633,0.0966,71.9916
2,30,1.4,9.9,0.4,0.0387,0.2826,0.3578,0.1861,0.0944,84.0281
2,30,1.4,9.9,0.6,0.0384,0.2757,0.3578,0.1809,0.0871,88.444
2,30,1.4,9.9,0.8,0.0381,0.269,0.3578,0.1797,0.0876,87.4183
2,30,1.4,9.9,1,0.0379,0.2624,0.3578,0.1699,0.0865,83.6288
2,30,1.4,9.9,1.2,0.0376,0.256,0.3578,0.1717,0.0842,86.876
2,30,1.6,9.9,0.4,0.0336,0.2757,0.3578,0.1649,0.086,81.7035
2,30,1.6,9.9,0.6,0.0334,0.269,0.3578,0.1728,0.0814,90.4704
2,30,1.6,9.9,0.8,0.0331,0.2624,0.3578,0.1696,0.0814,88.7282
2,30,1.6,9.9,1,0.0329,0.256,0.3578,0.1392,0.0837,70.8826
2,30,1.6,9.9,1.2,0.0326,0.2498,0.3578,0.1372,0.0781,74.8058
2,30,1.8,9.9,0.4,0.0297,0.269,0.3578,0.168,0.0759,94.3016
2,30,1.8,9.9,0.6,0.0294,0.2624,0.3578,0.1392,0.0804,73.7497
2,30,1.8,9.9,0.8,0.0292,0.256,0.3578,0.1604,0.0738,92.5212
2,30,1.8,9.9,1,0.029,0.2498,0.3578,0.146,0.0727,85.5694
2,30,1.8,9.9,1.2,0.0288,0.2437,0.3578,0.1356,0.0759,76.0765
2,30,0.4,29.9,0.2,0.1411,0.3277,0.3578,0.2622,0.2007,55.659
2,30,0.4,29.9,0.4,0.1402,0.3196,0.3578,0.2537,0.1911,56.5522
2,30,0.8,29.9,0.4,0.0691,0.3042,0.3578,0.2215,0.1198,78.7911
2,30,0.8,29.9,0.6,0.0686,0.2968,0.3578,0.2151,0.1167,78.5217
2,30,0.8,29.9,0.8,0.0682,0.2896,0.3578,0.2031,0.1164,74.3136
2,30,0.8,29.9,1,0.0677,0.2826,0.3578,0.1993,0.1164,72.9008
2,30,0.8,29.9,1.2,0.0672,0.2757,0.3578,0.1944,0.1174,70.5385
2,30,1,29.9,0.4,0.0549,0.2968,0.3578,0.2047,0.1083,80.4835
2,30,1,29.9,0.6,0.0545,0.2896,0.3578,0.2009,0.1016,84.233
2,30,1,29.9,0.8,0.0541,0.2826,0.3578,0.1928,0.1023,80.3195
2,30,1,29.9,1,0.0538,0.2757,0.3578,0.1881,0.0996,80.4864
2,30,1,29.9,1.2,0.0534,0.269,0.3578,0.1794,0.1055,72.4578
2,30,1.2,29.9,0.4,0.0454,0.2896,0.3578,0.1921,0.0949,86.262
2,30,1.2,29.9,0.6,0.0451,0.2826,0.3578,0.1869,0.0921,86.4119
2,30,1.2,29.9,0.8,0.0448,0.2757,0.3578,0.1555,0.093,71.2333
2,30,1.2,29.9,1,0.0445,0.269,0.3578,0.1768,0.0882,85.3717
2,30,1.2,29.9,1.2,0.0442,0.2624,0.3578,0.1633,0.0893,77.8951
2,30,1.4,29.9,0.4,0.0387,0.2826,0.3578,0.1797,0.0885,86.4925
2,30,1.4,29.9,0.6,0.0384,0.2757,0.3578,0.1737,0.083,89.1504
2,30,1.4,29.9,0.8,0.0381,0.269,0.3578,0.1725,0.0831,88.4737
2,30,1.4,29.9,1,0.0379,0.2624,0.3578,0.1401,0.0839,71.1232
2,30,1.4,29.9,1.2,0.0376,0.256,0.3578,0.1469,0.0806,77.5717
2,30,1.6,29.9,0.4,0.0336,0.2757,0.3578,0.1622,0.0811,85.1785
2,30,1.6,29.9,0.6,0.0334,0.269,0.3578,0.1642,0.0807,86.7146
2,30,1.6,29.9,0.8,0.0331,0.2624,0.3578,0.1608,0.0749,91.4726
2,30,1.6,29.9,1,0.0329,0.256,0.3578,0.153,0.0747,87.2488
2,30,1.6,29.9,1.2,0.0326,0.2498,0.3578,0.1559,0.0725,91.5498
2,30,1.8,29.9,0.4,0.0297,0.269,0.3578,0.1621,0.0741,93.2086
2,30,1.8,29.9,0.6,0.0294,0.2624,0.3578,0.1498,0.0703,90.7749
2,30,1.8,29.9,0.8,0.0292,0.256,0.3578,0.145,0.071,87.0592
2,30,1.8,29.9,1,0.029,0.2498,0.3578,0.1441,0.068,90.1959
2,30,1.8,29.9,1.2,0.0288,0.2437,0.3578,0.1428,0.0684,88.9198
2,30,1.8,30,1.2,0.0288,0.2437,0.3578,0.1436,0.0682,89.7452
2,30,0.4,49.9,0.2,0.1411,0.3277,0.3578,0.2507,0.1874,56.9849
2,30,0.4,49.9,0.4,0.1402,0.3196,0.3578,0.2362,0.1819,55.3119
2,30,0.8,49.9,0.4,0.0691,0.3042,0.3578,0.2105,0.1163,77.1159
2,30,0.8,49.9,0.6,0.0686,0.2968,0.3578,0.201,0.1145,74.7767
2,30,0.8,49.9,0.8,0.0682,0.2896,0.3578,0.1905,0.1172,69.2055
2,30,0.8,49.9,1,0.0677,0.2826,0.3578,0.1868,0.1178,67.5591
2,30,0.8,49.9,1.2,0.0672,0.2757,0.3578,0.1871,0.1119,71.2427
2,30,1,49.9,0.4,0.0549,0.2968,0.3578,0.1752,0.1037,71.9537
2,30,1,49.9,0.6,0.0545,0.2896,0.3578,0.1869,0.1044,76.2418
2,30,1,49.9,0.8,0.0541,0.2826,0.3578,0.1856,0.0993,79.6463
2,30,1,49.9,1,0.0538,0.2757,0.3578,0.1796,0.0968,79.0468
2,30,1,49.9,1.2,0.0534,0.269,0.3578,0.1751,0.0977,76.3109
2,30,1.2,49.9,0.4,0.0454,0.2896,0.3578,0.1806,0.1018,75.5711
2,30,1.2,49.9,0.6,0.0451,0.2826,0.3578,0.1788,0.0918,82.9302
2,30,1.2,49.9,0.8,0.0448,0.2757,0.3578,0.1592,0.0871,77.8308
2,30,1.2,49.9,1,0.0445,0.269,0.3578,0.1698,0.0842,85.8743
2,30,1.2,49.9,1.2,0.0442,0.2624,0.3578,0.1557,0.0865,76.6466
2,30,1.4,49.9,0.4,0.0387,0.2826,0.3578,0.1681,0.0906,79.0872
2,30,1.4,49.9,0.6,0.0384,0.2757,0.3578,0.1622,0.0821,84.1518
2,30,1.4,49.9,0.8,0.0381,0.269,0.3578,0.1644,0.0806,86.9172
2,30,1.4,49.9,1,0.0379,0.2624,0.3578,0.1359,0.0811,71.3875
2,30,1.4,49.9,1.2,0.0376,0.256,0.3578,0.1502,0.0784,81.5503
2,30,1.6,49.9,0.4,0.0336,0.2757,0.3578,0.1429,0.0783,77.7542
2,30,1.6,49.9,0.6,0.0334,0.269,0.3578,0.1623,0.0703,98.3224
2,30,1.6,49.9,0.8,0.0331,0.2624,0.3578,0.1344,0.0718,79.7928
2,30,1.6,49.9,1,0.0329,0.256,0.3578,0.1309,0.0751,74.2736
2,30,1.6,49.9,1.2,0.0326,0.2498,0.3578,0.1494,0.0702,90.5976
2,30,1.8,49.9,0.4,0.0297,0.269,0.3578,0.0183,0.0886,8.8168
2,30,1.8,49.9,0.6,0.0294,0.2624,0.3578,0.1271,0.0692,78.2623
2,30,1.8,49.9,0.8,0.0292,0.256,0.3578,0.1262,0.0678,79.2237
2,30,1.8,49.9,1,0.029,0.2498,0.3578,0.1245,0.0655,80.9977
2,30,1.8,49.9,1.2,0.0288,0.2437,0.3578,0.1193,0.064,79.3343
2,30,0.4,69.9,0.2,0.1411,0.3277,0.3578,0.2363,0.1947,51.7243
2,30,0.8,69.9,0.4,0.0691,0.3042,0.3578,0.2019,0.11,78.1748
2,30,0.8,69.9,0.6,0.0686,0.2968,0.3578,0.1927,0.1096,74.8934
2,30,0.8,69.9,0.8,0.0682,0.2896,0.3578,0.0184,0.1424,5.5174
2,30,0.8,69.9,1,0.0677,0.2826,0.3578,0.1806,0.1097,70.1169
2,30,0.8,69.9,1.2,0.0672,0.2757,0.3578,0.1794,0.1046,73.1023
2,30,1,69.9,0.4,0.0549,0.2968,0.3578,0.1725,0.0976,75.3134
2,30,1,69.9,0.6,0.0545,0.2896,0.3578,0.1798,0.1002,76.3958
2,30,1,69.9,0.8,0.0541,0.2826,0.3578,0.1764,0.0973,77.2813
2,30,1,69.9,1,0.0538,0.2757,0.3578,0.1748,0.0938,79.3807
2,30,1,69.9,1.2,0.0534,0.269,0.3578,0.1617,0.0988,69.7367
2,30,1.2,69.9,0.4,0.0454,0.2896,0.3578,0.1752,0.0924,80.7425
2,30,1.2,69.9,0.6,0.0451,0.2826,0.3578,0.1725,0.0854,86.0382
2,30,1.2,69.9,0.8,0.0448,0.2757,0.3578,0.1583,0.085,79.3816
2,30,1.2,69.9,1,0.0445,0.269,0.3578,0.1589,0.0934,72.463
