N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
7,80,0.4,5,0.4,6.78,19.04090205,43.05722384,18.83870547
7,80,0.4,5,0.6,6.78,14.28594842,16.41084244,37.08410176
7,80,0.8,9.9,0.8,6.78,9.496492069,6.456153158,62.66123462
7,80,0.8,9.9,1,6.78,8.283907501,4.777282776,73.86927802
7,80,1,9.9,0.8,6.78,8.590043216,5.369969638,68.14485642
7,80,1,9.9,1,6.78,7.540542251,3.95794619,81.16004039
7,80,1.2,9.9,0.8,6.78,7.787243694,4.564778344,72.67309126
7,80,1.2,9.9,1,6.78,6.865230273,3.339461615,87.57662715
7,80,0.4,25,0.4,6.78,15.47240308,25.93805283,25.41148016
7,80,0.4,25,0.6,6.78,13.00468342,12.96200628,42.74025602
7,80,0.8,29.9,0.8,6.78,8.716995941,5.218234122,71.16277018
7,80,0.8,29.9,1,6.78,7.670721115,3.922388719,83.30961442
7,80,1,29.9,0.8,6.78,7.926629703,4.418690263,76.41956701
7,80,1,29.9,1,6.78,6.997819743,3.314464125,89.94126488
7,80,1.2,29.9,0.8,6.78,7.192523422,3.729225941,82.1622172
7,80,1.2,29.9,1,6.78,6.402994766,2.821288895,96.68189398
7,80,1.2,30,1,6.78,6.397729951,2.814690892,96.82884667
7,80,0.4,45,0.4,6.78,17.88279927,28.88401998,26.37469385
7,80,0.4,45,0.6,6.78,11.65275719,9.750121687,50.91294549
7,80,0.8,49.9,0.8,6.78,8.054183596,4.434068641,77.37999112
7,80,0.8,49.9,1,6.78,7.142156096,3.400046283,89.48578889
7,80,1,49.9,0.8,6.78,7.327573367,3.752367544,83.18870559
7,80,1,49.9,1,6.78,6.540406168,2.871445189,97.03172473
7,80,1.2,49.9,0.8,6.78,6.698512501,3.251068599,87.77317353
7,80,1.2,49.9,1,6.78,5.996869926,2.507326134,101.8880766
7,80,0.4,65,0.4,6.78,15.34918323,22.10718683,29.5774924
7,80,0.8,69.9,0.8,6.78,7.534321597,3.99573246,80.32621704
7,80,0.8,69.9,1,6.78,6.699323204,3.037671673,93.95062236
7,80,1,69.9,0.8,6.78,6.859697154,3.332968685,87.67651351
7,80,1,69.9,1,6.78,6.158957211,2.680149162,97.89438538
7,80,1.2,69.9,0.8,6.78,6.265118461,2.960616111,90.14813599
7,80,1.2,69.9,1,6.78,5.636191396,2.281440808,105.2412722
7,80,0.4,85,0.4,6.78,13.99478456,17.78615957,33.51919617
7,80,0.8,89.9,0.8,6.78,7.065901984,4.315567079,69.74921104
7,80,0.8,89.9,1,6.78,6.306715244,2.995162559,89.69998833
7,80,1,89.9,0.8,6.78,6.503630231,3.286337072,84.30499314
7,80,1,89.9,1,6.78,5.792014139,2.304290325,107.0784262
7,80,1.2,89.9,0.8,6.78,5.915325175,2.763884092,91.17344383
7,80,1.2,89.9,1,6.78,5.319101329,2.215808138,102.2623274
7,85,0.8,9.9,0.8,6.78,11.54939149,9.939272703,49.50100983
7,85,0.8,9.9,1,6.78,9.844671801,6.621890646,63.33281619
7,85,1,9.9,0.8,6.78,10.4140874,7.88161834,56.28794324
