N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
4,40,0.8,9.9,0.4,6.78,1.069174498,0.547200002,83.23616508
4,40,0.8,9.9,0.6,6.78,1.011013055,0.432738555,99.52695923
4,40,0.8,9.9,0.8,6.78,0.94106371,0.452658675,88.56410555
4,40,0.8,9.9,1,6.78,0.884516817,0.422558296,89.1721061
4,40,0.8,9.9,1.2,6.78,0.839226752,0.383381457,93.25191898
4,40,1,9.9,0.4,6.78,0.987118999,0.413425919,101.7141496
4,40,1,9.9,0.6,6.78,0.91966269,0.422558198,92.71534053
4,40,1,9.9,0.8,6.78,0.864918386,0.390089733,94.45396014
4,40,1,9.9,1,6.78,0.81652881,0.362487551,95.95950065
4,40,1,9.9,1.2,6.78,0.771209988,0.346019955,94.94695978
4,40,1.2,9.9,0.4,6.78,0.872859034,0.566343607,65.65588669
4,40,1.2,9.9,0.6,6.78,0.837477167,0.418680274,85.21185857
4,40,1.2,9.9,0.8,6.78,0.783159291,0.421799825,79.09577234
4,40,1.2,9.9,1,6.78,0.749421267,0.331297395,96.36460712
4,40,1.2,9.9,1.2,6.78,0.710653846,0.302253846,100.1603508
4,40,1.4,9.9,0.4,6.78,0.819928207,0.417817251,83.59860348
4,40,1.4,9.9,0.6,6.78,0.775309995,0.340648714,96.9567817
4,40,1.4,9.9,0.8,6.78,0.732044725,0.31125405,100.1917973
4,40,1.4,9.9,1,6.78,0.68579966,0.311109865,93.90593596
4,40,1.4,9.9,1.2,6.78,0.662334726,0.251502203,112.1877129
4,40,1.6,9.9,0.4,6.78,0.749334192,0.409676689,77.91908764
4,40,1.6,9.9,0.6,6.78,0.709470147,0.334347027,90.3953774
4,40,1.6,9.9,0.8,6.78,0.667476713,0.314746651,90.34093134
4,40,1.6,9.9,1,6.78,0.636923189,0.251881634,107.7209368
4,40,1.6,9.9,1.2,6.78,0.603778746,0.239633885,107.3344549
4,40,1.8,9.9,0.4,6.78,0.689199087,0.361480869,81.22111343
4,40,1.8,9.9,0.6,6.78,0.653089444,0.304951754,91.23281834
4,40,1.8,9.9,0.8,6.78,0.623511632,0.248534852,106.8727106
4,40,1.8,9.9,1,6.78,0.589149518,0.233361516,107.5488698
