N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,30,0.8,9.9,0.4,6.78,0.436793445,0.225695852,82.44457735
3,30,0.8,9.9,0.6,6.78,0.414915779,0.210545922,83.95038265
3,30,0.8,9.9,0.8,6.78,0.390100785,0.210180396,79.06680334
3,30,0.8,9.9,1,6.78,0.368422362,0.206797736,75.894406
3,30,0.8,9.9,1.2,6.78,0.358817873,0.18608073,82.14520721
3,30,1,9.9,0.4,6.78,0.401354806,0.193360784,88.42389297
3,30,1,9.9,0.6,6.78,0.300932387,0.360287024,35.58196036
3,30,1,9.9,0.8,6.78,0.35632831,0.191234487,79.37681617
3,30,1,9.9,1,6.78,0.344622317,0.169262534,86.73454863
3,30,1,9.9,1.2,6.78,0.325805621,0.16606324,83.57851075
3,30,1.2,9.9,0.4,6.78,0.360137594,0.198811871,77.16772723
3,30,1.2,9.9,0.6,6.78,0.341990336,0.185708564,78.44973227
3,30,1.2,9.9,0.8,6.78,0.334625854,0.154157754,92.47060112
3,30,1.2,9.9,1,6.78,0.31220127,0.156510526,84.97685976
3,30,1.2,9.9,1.2,6.78,0.301413968,0.146666393,87.54721308
3,30,1.4,9.9,0.4,6.78,0.266178799,0.216874806,52.28461568
3,30,1.4,9.9,0.6,6.78,0.313760213,0.154262913,86.64547856
3,30,1.4,9.9,0.8,6.78,0.30382996,0.143133729,90.42701021
3,30,1.4,9.9,1,6.78,0.291110091,0.140431039,88.30874497
3,30,1.4,9.9,1.2,6.78,0.276494582,0.132523421,88.87989815
3,30,1.6,9.9,0.4,6.78,0.309550285,0.156030331,84.51459991
3,30,1.6,9.9,0.6,6.78,0.287013348,0.154263549,79.25895417
3,30,1.6,9.9,0.8,6.78,0.2785916,0.135982313,87.27606428
3,30,1.6,9.9,1,6.78,0.26770236,0.129280611,88.21214136
3,30,1.6,9.9,1.2,6.78,0.254891746,0.126495968,85.83979131
3,30,1.8,9.9,0.4,6.78,0.280606882,0.150994725,79.16734983
3,30,1.8,9.9,0.6,6.78,0.268357973,0.136750126,83.59808498
3,30,1.8,9.9,0.8,6.78,0.257849834,0.12640455,86.89878681
3,30,1.8,9.9,1,6.78,0.246179426,0.120086437,87.33078342
3,30,1.8,9.9,1.2,6.78,0.235298987,0.115691937,86.64161295
3,30,0.8,29.9,0.4,6.78,0.420743679,0.206931034,86.61668018
3,30,0.8,29.9,0.6,6.78,0.399464697,0.195935624,86.85094766
3,30,0.8,29.9,0.8,6.78,0.371333902,0.205274253,77.06189456
3,30,0.8,29.9,1,6.78,0.353886985,0.197182434,76.45500654
3,30,0.8,29.9,1.2,6.78,0.342946214,0.178756384,81.72859147
3,30,1,29.9,0.4,6.78,0.385797764,0.183508264,89.55990888
3,30,1,29.9,0.6,6.78,0.362374923,0.184307094,83.75787428
3,30,1,29.9,0.8,6.78,0.344615977,0.169870527,86.42252222
3,30,1,29.9,1,6.78,0.330064265,0.158984503,88.44092485
3,30,1,29.9,1.2,6.78,0.311434593,0.164673038,80.56639198
3,30,1.2,29.9,0.4,6.78,0.347267207,0.185285589,79.84205266
3,30,1.2,29.9,0.6,6.78,0.331614794,0.159812328,88.39611569
