N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,70,0.4,9.9,0.4,6.78,11.76916536,12.09149343,41.46439022
7,70,0.4,9.9,0.8,6.78,8.080333663,5.136675357,67.01264162
7,70,0.4,9.9,1,6.78,7.147095746,4.061455455,74.96481405
7,70,0.6,9.9,0.4,6.78,10.52120617,9.959576991,45.00224709
7,70,0.6,9.9,0.6,6.78,8.431327372,5.816909854,61.74661884
7,70,0.6,9.9,0.8,6.78,7.278620146,4.248660549,72.98045779
7,70,0.6,9.9,1,6.78,6.470997294,3.286051045,83.88928157
7,70,0.8,9.9,0.4,6.78,9.263116421,8.127606504,48.55165242
7,70,0.8,9.9,0.6,6.78,7.612893929,4.945224658,65.5802873
7,70,0.8,9.9,0.8,6.78,6.572104627,3.465801702,80.78120372
7,70,0.8,9.9,1,6.78,5.895864111,2.701336455,92.9776035
7,70,1,9.9,0.4,6.78,8.307924006,6.614147753,53.50916639
7,70,1,9.9,0.6,6.78,6.853811908,4.091887487,71.35395667
7,70,1,9.9,0.8,6.78,5.983782095,2.82064274,90.37269839
7,70,1,9.9,1,6.78,5.356614974,2.304330776,99.0273536
7,70,0.4,29.9,0.4,6.78,10.60354042,9.328211097,48.42415966
7,70,0.4,29.9,0.6,6.78,8.665950378,5.783259309,63.83415217
7,70,0.4,29.9,0.8,6.78,7.480876753,4.267698384,74.6738157
7,70,0.4,29.9,1,6.78,6.635899041,3.485829296,81.09670645
7,70,0.6,29.9,0.4,6.78,9.512876031,7.865383213,51.52304389
7,70,0.6,29.9,0.6,6.78,7.823877507,4.7235191,70.56119525
7,70,0.6,29.9,0.8,6.78,6.827507378,3.574903746,81.35933448
7,70,0.6,29.9,1,6.78,6.087129351,2.747498384,94.38101578
7,70,0.8,29.9,0.4,6.78,8.506078155,6.419197886,56.44924881
7,70,0.8,29.9,0.6,6.78,7.068678694,3.97235736,75.80528626
7,70,0.8,29.9,0.8,6.78,6.16799215,2.974270233,88.34316412
7,70,0.8,29.9,1,6.78,5.55141212,2.352300781,100.5356705
7,70,1,29.9,0.4,6.78,7.526537848,5.297138221,60.52900108
7,70,1,29.9,0.6,6.78,6.344367685,3.427530739,78.85269631
7,70,1,29.9,0.8,6.78,5.612165992,2.479189041,96.43405445
7,70,1,29.9,1,6.78,5.050355762,1.986997181,108.2765186
7,70,0.4,49.9,0.4,6.78,1.191010018,2.564261388,19.78621318
7,70,0.4,49.9,0.6,6.78,8.070677308,5.11688127,67.19147972
7,70,0.4,49.9,0.8,6.78,7.018313723,3.785251944,78.98553218
7,70,0.4,49.9,1,6.78,6.2900073,3.116991775,85.96567061
7,70,0.6,49.9,0.4,6.78,8.838863462,6.819582688,55.21386993
7,70,0.6,49.9,0.6,6.78,7.279016625,4.1368135,74.95771367
7,70,0.6,49.9,0.8,6.78,6.38640905,3.089669572,88.05504797
7,70,0.6,49.9,1,6.78,5.72522267,2.496521921,97.69370059
7,70,0.8,49.9,0.4,6.78,7.765215075,5.562232638,59.47218601
7,70,0.8,49.9,0.6,6.78,6.591123518,3.509932345,79.99636758
7,70,0.8,49.9,0.8,6.78,5.809166053,2.611600379,94.75816241
7,70,0.8,49.9,1,6.78,5.234776273,2.086755745,106.8651426
7,70,1,49.9,0.4,6.78,7.047134887,4.676000224,64.20186191
7,70,1,49.9,0.6,6.78,5.933602123,2.969790672,85.11422417
7,70,1,49.9,0.8,6.78,5.26391753,2.221625755,100.9363828
7,70,1,49.9,1,6.78,4.765263084,1.619322299,125.3612022
7,70,0.4,69.9,0.4,6.78,9.715273022,9.015949194,45.90427327
7,70,0.4,69.9,0.6,6.78,7.86316478,5.32913272,62.85653009
7,70,0.4,69.9,0.8,6.78,6.623228473,3.574521703,78.93350003
7,70,0.4,69.9,1,6.78,5.924144166,2.892176026,87.25904572
7,70,0.6,69.9,0.4,6.78,8.081525474,5.970290446,57.66435637
7,70,0.6,69.9,0.6,6.78,6.888698573,3.945523179,74.37759734
7,70,0.6,69.9,0.8,6.78,6.01425303,2.817929439,90.92035938
7,70,0.6,69.9,1,6.78,5.420619791,2.343547217,98.53370216
7,70,0.8,69.9,0.4,6.78,7.206809332,4.81339491,63.78243573
7,70,0.8,69.9,0.6,6.78,6.12580415,3.152143074,82.78787748
7,70,0.8,69.9,0.8,6.78,5.486567874,2.393037556,97.66991371
7,70,0.8,69.9,1,6.78,4.933053634,1.930333187,108.8662146
7,70,1,69.9,0.4,6.78,6.471323821,4.078827335,67.58765417
7,70,1,69.9,0.6,6.78,5.571331344,2.729438636,86.95513133
7,70,1,69.9,0.8,6.78,4.964487243,2.032962809,104.0290249
7,70,1,69.9,1,6.78,4.503408684,1.674749018,114.5516084
7,70,0.4,89.9,0.4,6.78,8.728021556,8.112637683,45.83141775
7,70,0.4,89.9,0.6,6.78,8.502188052,7.861742131,46.07034602
7,70,0.4,89.9,0.8,6.78,0.293595762,0.657548372,19.02092519
7,70,0.4,89.9,1,6.78,5.656046366,3.147762822,76.5456511
7,70,0.6,89.9,0.4,6.78,7.074144569,5.675470477,53.09842317
7,70,0.6,89.9,0.6,6.78,6.444799092,3.730755784,73.59056285
7,70,0.6,89.9,0.8,6.78,5.663862732,3.157569398,76.41337419
7,70,0.6,89.9,1,6.78,5.098401604,2.811762338,77.24404264
7,70,0.8,89.9,0.4,6.78,0.954641596,1.874788817,21.69189841
7,70,0.8,89.9,0.6,6.78,5.867876327,3.046135849,82.06183922
7,70,0.8,89.9,0.8,6.78,5.151210736,2.331573387,94.11737153
7,70,0.8,89.9,1,6.78,4.651478974,1.818667616,108.9550315
7,70,1,89.9,0.4,6.78,6.100520679,3.700641547,70.22624472
7,70,1,89.9,0.6,6.78,5.276769124,2.513093269,89.44767325
7,70,1,89.9,0.8,6.78,4.702679455,2.167900504,92.40928144
7,70,1,89.9,1,6.78,4.265325692,1.584666887,114.6631261
7,75,0.4,9.9,0.4,6.78,14.7273568,18.63233982,33.67184972
7,75,0.4,9.9,0.6,6.78,11.20504482,9.585506129,49.79756546
7,75,0.4,9.9,0.8,6.78,9.609926587,6.87821334,59.51877582
7,75,0.4,9.9,1,6.78,8.401606047,5.252301764,68.14315004
7,75,0.6,9.9,0.4,6.78,13.229921,15.37130701,36.66536532
7,75,0.6,9.9,0.6,6.78,10.26681001,8.189456136,53.40599691
7,75,0.6,9.9,0.8,6.78,8.714081973,5.680419024,65.35078819
7,75,0.6,9.9,1,6.78,7.609550039,4.166724427,77.79895449
7,75,0.8,9.9,0.4,6.78,11.71401041,12.20012616,40.90259351
7,75,0.8,9.9,0.6,6.78,9.250318477,6.895430713,57.14850168
7,75,0.8,9.9,0.8,6.78,7.919691223,4.735874299,71.23897218
7,75,0.8,9.9,1,6.78,6.987931031,3.591293415,82.89098166
7,75,1,9.9,0.4,6.78,10.48314088,10.10241617,44.20544114
7,75,1,9.9,0.6,6.78,8.36983459,5.66940998,62.89101061
7,75,1,9.9,0.8,6.78,7.123707119,3.905126432,77.71064594
7,75,1,9.9,1,6.78,6.335596062,2.961029715,91.14949706
7,75,0.4,29.9,0.4,6.78,12.95702942,13.36931846,41.28627857
7,75,0.4,29.9,0.6,6.78,10.29110068,7.965473872,55.03763603
7,75,0.4,29.9,0.8,6.78,8.82195044,5.590844029,67.2197355
7,75,0.4,29.9,1,6.78,7.803939189,4.335077805,76.68784648
7,75,0.6,29.9,0.4,6.78,11.57620409,11.24304039,43.86235709
7,75,0.6,29.9,0.6,6.78,9.421530053,6.643694375,60.41174135
7,75,0.6,29.9,0.8,6.78,8.078568522,4.65737088,73.89297496
