N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
2,30,0.4,9.9,0.2,6.78,0.272463819,0.220975998,52.52587515
2,30,0.4,9.9,0.4,6.78,0.265251973,0.204729479,55.19348319
2,30,0.8,9.9,0.4,6.78,0.224399924,0.132136402,72.3452112
2,30,0.8,9.9,0.6,6.78,0.221309775,0.126444509,74.56073567
2,30,0.8,9.9,0.8,6.78,0.214552826,0.123838899,73.8051589
2,30,0.8,9.9,1,6.78,0.20723056,0.122748134,71.91979845
2,30,0.8,9.9,1.2,6.78,0.203633834,0.125641271,69.04419649
2,30,1,9.9,0.4,6.78,0.215160359,0.112848052,81.22276222
2,30,1,9.9,0.6,6.78,0.208110703,0.109533365,80.93894657
2,30,1,9.9,0.8,6.78,0.196987066,0.114937681,73.01041928
2,30,1,9.9,1,6.78,0.184378709,0.10984888,71.50307202
2,30,1,9.9,1.2,6.78,0.189315241,0.111389453,72.40208407
2,30,1.2,9.9,0.4,6.78,0.198815502,0.105594226,80.20835945
2,30,1.2,9.9,0.6,6.78,0.194282899,0.097581211,84.81602836
2,30,1.2,9.9,0.8,6.78,0.189676611,0.095544131,84.57058371
2,30,1.2,9.9,1,6.78,0.183506421,0.09587874,81.53395467
2,30,1.2,9.9,1.2,6.78,0.163276513,0.096616543,71.99159299
2,30,1.4,9.9,0.4,6.78,0.186132874,0.094364399,84.02808541
2,30,1.4,9.9,0.6,6.78,0.180856277,0.087111347,88.44400935
2,30,1.4,9.9,0.8,6.78,0.179706522,0.087573131,87.41833303
2,30,1.4,9.9,1,6.78,0.169899613,0.086545797,83.62881994
2,30,1.4,9.9,1.2,6.78,0.17170302,0.08419524,86.87602864
2,30,1.6,9.9,0.4,6.78,0.164882315,0.085969223,81.70349543
2,30,1.6,9.9,0.6,6.78,0.17283406,0.081382775,90.47037671
2,30,1.6,9.9,0.8,6.78,0.169569128,0.081413148,88.72822634
2,30,1.6,9.9,1,6.78,0.139217589,0.083668888,70.88260558
2,30,1.6,9.9,1.2,6.78,0.137180296,0.078120697,74.80578534
2,30,1.8,9.9,0.4,6.78,0.168043629,0.07591236,94.30161308
2,30,1.8,9.9,0.6,6.78,0.139170683,0.080389041,73.74973585
2,30,1.8,9.9,0.8,6.78,0.160351641,0.073831533,92.5211641
2,30,1.8,9.9,1,6.78,0.145955579,0.07266276,85.56937773
2,30,1.8,9.9,1.2,6.78,0.135617778,0.075940843,76.07654356
2,30,0.4,29.9,0.2,6.78,0.26218591,0.200670559,55.65898101
2,30,0.4,29.9,0.4,6.78,0.253733024,0.191133637,56.5521908
2,30,0.8,29.9,0.4,6.78,0.22149392,0.119755108,78.79112947
2,30,0.8,29.9,0.6,6.78,0.215116748,0.116706282,78.52167459
2,30,0.8,29.9,0.8,6.78,0.203134734,0.116446256,74.31358652
2,30,0.8,29.9,1,6.78,0.199252435,0.116434317,72.90078412
2,30,0.8,29.9,1.2,6.78,0.194408972,0.117408452,70.53854581
2,30,1,29.9,0.4,6.78,0.204685952,0.108340477,80.48350042
2,30,1,29.9,0.6,6.78,0.200884359,0.10159531,84.23295262
2,30,1,29.9,0.8,6.78,0.19279462,0.10225475,80.31949722
2,30,1,29.9,1,6.78,0.1880867,0.099550927,80.48636986
2,30,1,29.9,1.2,6.78,0.17943885,0.10549723,72.45777327
2,30,1.2,29.9,0.4,6.78,0.192145009,0.094889699,86.26201565
2,30,1.2,29.9,0.6,6.78,0.186873662,0.092126353,86.41194474
2,30,1.2,29.9,0.8,6.78,0.155468311,0.092975449,71.23331505
2,30,1.2,29.9,1,6.78,0.176789429,0.088216908,85.37171843
2,30,1.2,29.9,1.2,6.78,0.163264429,0.08928757,77.89509841
2,30,1.4,29.9,0.4,6.78,0.179720775,0.088517516,86.49253534
2,30,1.4,29.9,0.6,6.78,0.173726303,0.083014097,89.15039862
2,30,1.4,29.9,0.8,6.78,0.172535138,0.083075537,88.47365364
2,30,1.4,29.9,1,6.78,0.140076464,0.083900262,71.12322073
2,30,1.4,29.9,1.2,6.78,0.146850856,0.080645975,77.57170661
2,30,1.6,29.9,0.4,6.78,0.162216433,0.081128726,85.17845391
2,30,1.6,29.9,0.6,6.78,0.164212033,0.080671897,86.71460883
2,30,1.6,29.9,0.8,6.78,0.160758259,0.074867263,91.47257448
2,30,1.6,29.9,1,6.78,0.152980571,0.074694106,87.24880939
2,30,1.6,29.9,1.2,6.78,0.155863826,0.072526621,91.54981085
2,30,1.8,29.9,0.4,6.78,0.16212637,0.074098134,93.20859204
2,30,1.8,29.9,0.6,6.78,0.149770677,0.070286312,90.77486203
2,30,1.8,29.9,0.8,6.78,0.145000503,0.070951937,87.05922926
2,30,1.8,29.9,1,6.78,0.144073151,0.068046475,90.19593903
2,30,1.8,29.9,1.2,6.78,0.142753937,0.068391001,88.91984513
2,30,1.8,30,1.2,6.78,0.143623987,0.068175039,89.74518196
2,30,0.4,49.9,0.2,6.78,0.250671274,0.187393493,56.98487809
2,30,0.4,49.9,0.4,6.78,0.236203994,0.181919138,55.31187875
2,30,0.8,49.9,0.4,6.78,0.210482267,0.116273617,77.11589274
2,30,0.8,49.9,0.6,6.78,0.200959082,0.11448559,74.77671324
2,30,0.8,49.9,0.8,6.78,0.190467094,0.117243527,69.20550535
2,30,0.8,49.9,1,6.78,0.186811939,0.117795956,67.5590928
2,30,0.8,49.9,1.2,6.78,0.187129838,0.111895343,71.24273596
2,30,1,49.9,0.4,6.78,0.175158507,0.103702113,71.95370987
2,30,1,49.9,0.6,6.78,0.186893029,0.104426195,76.24181247
2,30,1,49.9,0.8,6.78,0.185566674,0.099253046,79.64631821
2,30,1,49.9,1,6.78,0.179599582,0.096789986,79.04682946
2,30,1,49.9,1.2,6.78,0.175093237,0.09774449,76.31091309
2,30,1.2,49.9,0.4,6.78,0.180550544,0.10177773,75.57107518
2,30,1.2,49.9,0.6,6.78,0.178766203,0.091829493,82.93021497
2,30,1.2,49.9,0.8,6.78,0.159182238,0.087126986,77.83079705
2,30,1.2,49.9,1,6.78,0.169788644,0.084227732,85.87427674
2,30,1.2,49.9,1.2,6.78,0.155670909,0.086521486,76.64662814
2,30,1.4,49.9,0.4,6.78,0.16814923,0.090572923,79.08717518
2,30,1.4,49.9,0.6,6.78,0.162150873,0.08208532,84.15178938
2,30,1.4,49.9,0.8,6.78,0.164390122,0.080571137,86.91721258
2,30,1.4,49.9,1,6.78,0.135862916,0.081075208,71.38754144
2,30,1.4,49.9,1.2,6.78,0.150175104,0.078448059,81.5502505
2,30,1.6,49.9,0.4,6.78,0.14288724,0.078285115,77.75419257
2,30,1.6,49.9,0.6,6.78,0.162261245,0.070302712,98.32235822
2,30,1.6,49.9,0.8,6.78,0.134412407,0.071760419,79.79284611
2,30,1.6,49.9,1,6.78,0.130879929,0.075066883,74.273558
2,30,1.6,49.9,1.2,6.78,0.149357243,0.070229467,90.5975555
2,30,1.8,49.9,0.4,6.78,0.018336879,0.088597703,8.816831317
2,30,1.8,49.9,0.6,6.78,0.127098598,0.069182746,78.26228577
2,30,1.8,49.9,0.8,6.78,0.126153449,0.067834931,79.22373261
2,30,1.8,49.9,1,6.78,0.124526411,0.065493523,80.99769907
2,30,1.8,49.9,1.2,6.78,0.119272479,0.064045494,79.3343429
2,30,0.4,69.9,0.2,6.78,0.236349057,0.194656454,51.72430071
2,30,0.8,69.9,0.4,6.78,0.201931724,0.110039107,78.17484987
2,30,0.8,69.9,0.6,6.78,0.19270448,0.109611951,74.89338566
2,30,0.8,69.9,0.8,6.78,0.018447351,0.14243311,5.517376481
