N,a [mm],d [mm],p [mm],my_theta [deg],Freq [MHz],L [nH],R1 [m次],,R2 [m次],,R3 [m次]
4,30,0.8,0.5,30,6.78,647.3,216.3,,231.7,,241.2
4,30,1,0.7,40,6.78,529.4,170.4,,177.8,,189.5
4,35,0.8,0.5,50,6.78,801.7,283.4,,295.2,,304.2
4,40,0.8,0.5,85,6.78,915.6,245.3,,260.2,,271.6
4,40,0.8,0.7,20,6.78,1000.2,332.2,,349.6,,348.3
4,40,1,0.5,20,6.78,975.8,308.5,,321.4,,329.1
4,50,1,0.5,60,6.78,1289,374.3,,380.3,,388.2
7,40,0.8,0.5,30,6.78,2.287uH,0.862次,,0.950次,,0.830次
7,60,1,0.7,40,6.78,4.197uH,1.382次,,1.381次,,1.401次
7,100,0.8,0.5,80,6.78,24.638uH,41.7次,,41.3次,,41.4次
