N,a [mm],d [mm],p [mm],my_theta [deg],Freq [MHz],L [uH],R [次],Q,,R1 [次],R2 [次],R3 [次],歙硉
4,30,0.8,0.5,30,6.78,0.6473,0.229733333,120.0303708,,0.2163,0.2317,0.2412,0.229733333
4,30,1,0.7,40,6.78,0.5294,0.179233333,125.8272514,,0.1704,0.1778,0.1895,0.179233333
4,35,0.8,0.5,50,6.78,0.8017,0.294266667,116.0594127,,0.2834,0.2952,0.3042,0.294266667
4,40,0.8,0.5,85,6.78,0.9156,0.259033333,150.5773621,,0.2453,0.2602,0.2716,0.259033333
4,40,0.8,0.7,20,6.78,1.0002,0.343366667,124.0904252,,0.3322,0.3496,0.3483,0.343366667
4,40,1,0.5,20,6.78,0.9758,0.319666667,130.0388189,,0.3085,0.3214,0.3291,0.319666667
4,50,1,0.5,60,6.78,1.289,0.380933333,144.1496178,,0.3743,0.3803,0.3882,0.380933333
7,40,0.8,0.5,30,6.78,2.287,0.880666667,110.6277707,,0.862,0.95,0.83,0.880666667
7,60,1,0.7,40,6.78,4.197,1.388,128.8128111,,1.382,1.381,1.401,1.388
7,100,0.8,0.5,80,6.78,24.638,41.46666667,25.31138327,,41.7,41.3,41.4,41.46666667
